name,product_category,supplier,capacity_value,capacity_unit,net_price
REGAL 18YO,WHISKY,EUROPEANMONEY,700,ml,235.89
IRISHMILL,WHISKY,EUROPEANMONEY,700,ml,50.69
JAMES IRISH WHISKY,WHISKY,EUROPEANMONEY,700,ml,63.00
BALLANTINO,WHISKY,EUROPEANMONEY,700,ml,45.99
ANGOSTICO,BITTERS,EUROPEANMONEY,200,ml,
AMBROEUS APERITIF 0%,APERITIF,CRUMPS SPIRITS,750,ml,79.76
GIN PORTO,GIN,CRUMPS SPIRITS,500,ml,136.59
PORT_GIN,GIN,CRUMPS SPIRITS,500,ml,135.59
TEQUILA WHITE,TEQUILA,CRUMPS SPIRITS,700,ml,101.71
TEQUILA GOLD,TEQUILA,CRUMPS SPIRITS,700,ml,109.02
FOUR DOLLAR,SOFT,CHBC,200,ml,4.16
COLA,SOFT,CHBC,200,ml,2.37
COLA ZERO,SOFT,CHBC,200,ml,2.30
ORANGE,SOFT,CHBC,200,ml,2.27
CITRON SODA,SOFT,CHBC,200,ml,2.35
MEZCAL O.D.T 50%,TEQUILLA/MEZCAL,CHBC,700,ml,220.12
SOMBRERO BLANCO,TEQUILLA/MEZCAL,CHBC,700,ml,141.03
SOMBRERO REPOSADO,TEQUILLA/MEZCAL,CHBC,700,ml,134.00
RED_BITTER,APERITIF,CEBD,700,ml,
APERITIF ROSA,APERITIF,,700,ml,
ROSSO CHERRY,APERITIF,,750,ml,
APERITIVO SAMBUCO,APERITIF,,750,ml,
APERITIVO EDEN PREMIUM 11%,APERITIF,,1000,ml,75.65
SPRISETTO ZERO,APERITIF,,700,ml,73.05
MAN_SAKURA,VERMOUTH,,500,ml,97.75
MAN_KOPI,VERMOUTH,,500,ml,91.10
JAPAN WHISKY,WHISKY,,,,550.00
TORFY,WHISKY,,,,239.00
ISLA 10 YO,WHISKY,,,,206.52
AMARETTO,LIQUEUR,UNION ,700,ml,59.50
MONTE_AMARO,LIQUEUR,PORT SHOP,700,ml,63.80
RED_BITTER,LIQUEUR,PORT SHOP,1000,ml,79.60
MIRTO,LIQUEUR,Nord_co,700,ml,83.73
MAN_BIANCO,VERMOUTH,Nord_co,750,ml,81.90
MAN_ROSSO,VERMOUTH,Nord_co,750,ml,81.90
FABRI SUPERIORE 0%,BEER,Milano Bombardino,330,ml,3.33
FRENCH_APERITIF,APERITIF,CRUMPS SPIRITS,700,ml,79.22
HOUSE_GIN,GIN,Nord_co,1000,ml,83.93
