NAME,Product_Category,SUPPLIER,CAPACITY,Net price
COLA,Soft,CHBC,200ml,"2,37 PLN"
COLA ZERO,Soft,CHBC,200ml,"2,30 PLN"
ORANGE ,Soft,CHBC,200ml,"2,27 PLN"
CITRON SODA,Soft,CHBC,200ml,"2,35 PLN"
CROATIAN,Soft,Milano Bombardino,100ml,"5,05 PLN"
BITTERRANEO,Soft,Milano Bombardino,200ml,"3,49 PLN"
ITALO STILL WATER ,Soft,Milano Bombardino,250ML,"3,14 PLN"
ITALO SPARKLING WATER,Soft,Milano Bombardino,250ML,"3,14 PLN"
CHINO,Soft,Milano Bombardino,200ml,"3,49 PLN"
ROSSO BITTER,Soft,Nord_co,100ml,"2,90 PLN"
TONIC,Soft,UNION ,200ml,"3,14 PLN"
TEQUILA WHITE,tequila,CRUMPS SPIRITS,700,"101,71 PLN"
TEQUILA GOLD,tequila,CRUMPS SPIRITS,700,"109,02 PLN"
mezcal,tequila,PORT SHOP,700,"117,26 PLN"
MEZCAL O.D.T 50%,Tequilla/Mezcal,CHBC,700ml,"220,12 PLN"
SOMBRERO BLANCO,Tequilla/Mezcal,CHBC,700ml,"141,03 PLN"
SOMBRERO REPOSADO,Tequilla/Mezcal,CHBC,700ml,"134,00 PLN"
MAN_BIANCO,Vermouth,Nord_co,750ml,"81,90 PLN"
MAN_ROSSO,Vermouth,Nord_co,750ml,"81,90 PLN"
MAN_BIANCO,Vermouth,Nord_co,750,"81,90 PLN"
MAN_ROSSO,Vermouth,Nord_co,750,"81,90 PLN"
MAN_SECCO,Vermouth,Nord_co,750,"81,90 PLN"
VERMOUTH ROSSO 18% SILVIO CARTA,Vermouth,Nord_co,750ml,"89,90 PLN"
VERMOUTH BIANCO 16% SILVIO CARTA,Vermouth,Nord_co,750ml,"89,90 PLN"
ANTICO_ROSSO,Vermouth,Pedro2,1000ml,"122,28 PLN"
CARPANO ANTICA FORMULA,Vermouth,Spirit House,1000ml,"118,70 PLN"
MAN_SAKURA,Vermouth,,500ml,"97,75 PLN"
MAN_KOPI,Vermouth,,500ml,"91,10 PLN"
PROSECCO,Vine,LANDWINE,750,"29,92 PLN"
SPUMANTE,Vine,UNION ,750,"18,95 PLN"
ALTA_PREMIUM,Vodka,Nord_co,700 ml,"120,19 PLN"
JACK,whisky,EUROPEANMONEY,700ml,"68,99 PLN"
BULLY BRBN,whisky,EUROPEANMONEY,700ml,"79,84 PLN"
WILD_T,whisky,EUROPEANMONEY,700ml,"99,42 PLN"
SHOULDER 40%,whisky,EUROPEANMONEY,700ml,"104,52 PLN"
REGAL 12,whisky,EUROPEANMONEY,700ml,"79,99 PLN"
MARK 45%,whisky,EUROPEANMONEY,700ml,"100,87 PLN"
REGAL 18YO,whisky,EUROPEANMONEY,700ml,"235,89 PLN"
Irishmill,whisky,EUROPEANMONEY,700ml,"50,69 PLN"
JAMES IRISH WHISKY,whisky,EUROPEANMONEY,700ml,"63,00 PLN"
BALLANTINO,whisky,EUROPEANMONEY,700ml,"45,99 PLN"
"WHISKY SARDEGNA 43,7%",whisky,Nord_co,500 ml,"463,59 PLN"
WILD_T,whisky,Pedro2,700ml,"95,90 PLN"
CONNEMARA,whisky,Pedro2,700ml,
LAP 10,whisky,Pedro2,700ml,
MACCALY,whisky,UNION,,"263,00 PLN"
RYE WHISKY,whisky,UNION,700ml,"93,55 PLN"
Bourbon_buff,whisky,UNION,700,"67,95 PLN"
Bourbon_buff,whisky,UNION ,700,"67,95 PLN"
saz_rye_whisky,whisky,UNION ,700,"93,55 PLN"
Irishmill,whisky,UNION ,700,"64,95 PLN"
JAPAN WHISKY,whisky,,,"550,00 PLN"
TORFY,whisky,,,"239,00 PLN"
ISLA 10 YO,whisky,,,"206,52 PLN"
ANGOSTICO,bitters,EUROPEANMONEY,200,"92,25 P:N"
